Speaker name,Category/topic tags,State,Notes
Danielle Kettlewell OLY,"Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; Sport",WA (Perth),Gender: Female
Danielle Laidley,Diversity & Inclusion; Education; People & Culture; Resilience,WA (Perth),Gender: Female
Dannii Minogue,Celebrity,VIC (Melbourne),Gender: Female
Dara Simkin,Business; Creativity & Innovation; Leadership; People & Culture,VIC (Melbourne),Gender: Female
Darius Boyd,Mental Health & Wellness; Resilience; Sport,QLD (Brisbane),Gender: Male
Darrell Hardidge,Business,VIC (Melbourne),Gender: Male
Darren Flanagan,"Adventurers; Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness; Motivational; Team Building",NSW (Nowra),Gender: Male
Darren Fleming,Business; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture; Team Building,SA (Adelaide),Gender: Male
Darren Gorelick,"AI; Business; Creativity & Innovation; Technology, Future & Innovation",VIC (Melbourne),Gender: Male
Darren Higgins,"Health, Lifestyle & Wellbeing; Indigenous Speakers; Leadership; Mental Health & Wellness; Motivational; Resilience; Sport; Storytelling",NSW (Sydney),Gender: Male
Darren Isenberg,Business; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; Team Building,NSW (Sydney),Gender: Male
Darren McMullen,Celebrity; Media,NSW (Sydney),Gender: Male
Darren Sanders,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Darren Shand ONZM,After Dinner Speakers; Business; Inspirational; Leadership; Motivational; People & Culture; Sport; Team Building,New Zealand (Christchurch),Gender: Male
Darryl Lovegrove,Business; Motivational,NSW,Gender: Male
Daryl Elliott Green,"Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Storytelling",QLD (Brisbane),Gender: Male
Dave Hughes,Celebrity; Virtual,VIC,Gender: Male
Dave O'Neil,Celebrity; Virtual,VIC (Melbourne),Gender: Male
Dave Thornton,Celebrity; Virtual,VIC (Melbourne),Gender: Male
David  Penglase,Business; Resilience,NSW (Sydney),Gender: Male
David Allison,"Business; Creativity & Innovation; Social Trends & Current Affairs; Technology, Future & Innovation",International (Canada),Gender: Male
David Arnfield,Inspirational; Motivational; Sport; Team Building,QLD,Gender: Male
David Avrin,Business; Virtual,International (USA),Gender: Male
David Bartlett,"Business; Creativity & Innovation; Politics & Law; Technology, Future & Innovation",TAS (Hobart),Gender: Male
David Boon MBE,Celebrity; Sport,TAS,Gender: Male
David Bott,"Education; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Mental Health & Wellness",VIC (Melbourne),Gender: Male
David Boyar,"Business; Leadership; Media; Technology, Future & Innovation; Virtual",QLD (Brisbane),Gender: Male
David Campbell,Celebrity,NSW (Sydney),Gender: Male
David Campese,Inspirational; Motivational; Sport,QLD (Gold Coast),Gender: Male
David Chiem,Business; Creativity & Innovation; Education; Leadership,International (Asia; Singapore),Gender: Male
David Coulthard,Diversity & Inclusion; Motivational; Resilience; Sport,International (UK),Gender: Male
David Foster OAM,Celebrity; Motivational; Sport,TAS,Gender: Male
David Galbally AM QC,Business; Politics & Law,VIC (Melbourne),Gender: Male
David Hickie,Business; Leadership; Media,NSW,Gender: Male
David Jaffe,After Dinner Speakers; Business,VIC,Gender: Male
David Koch AM,Business; Celebrity; Economy & Finance; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
David Koutsoukis,Leadership; Team Building,WA,Gender: Male
David Lim,Adventurers; Business; Inspirational; Leadership; Motivational; Sport; Team Building,International (Asia; Singapore),Gender: Male
David Mead,Business; Inspirational; Leadership; People & Culture; Team Building,International (USA),Gender: Male
David Murray AO,Economy & Finance,NSW (Sydney),Gender: Male
David Parkin OAM,"Business; Health, Lifestyle & Wellbeing; Leadership; Motivational; Sport; Team Building",VIC (Melbourne),Gender: Male
David Peachey,Leadership; Sport,NSW (Sydney),Gender: Male
David Rohrsheim,After Dinner Speakers; Business; Motivational,NSW,Gender: Male
David Smorgon OAM,Business; Leadership,VIC,Gender: Male
David Speers,Business; Celebrity; Leadership; Media; Politics & Law,VIC (Melbourne),Gender: Male
David Staughton,Business; Intergenerational Influencers; Leadership; Motivational; Social Trends & Current Affairs; Team Building; Virtual,VIC (Melbourne),Gender: Male
David Thomas,Business; World Affairs,NSW,Gender: Male
David Woiwod,Master of Ceremonies (MCs) & Hosts; Media; Social Trends & Current Affairs,NSW (Sydney),Gender: Male
Dawn Fraser AO MBE,Celebrity; Sport,QLD (Sunshine Coast),Gender: Female
Daymond John,"Business; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Motivational",International (USA),Gender: Male
Dean Boxall,Inspirational; Leadership; Motivational; Resilience; Sport; Team Building,QLD (Brisbane),Gender: Male
Dean McSporran,"Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; Resilience",NSW (Wollongong),Gender: Male
Dean Yates,"After Dinner Speakers; Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness",TAS (Launceston),Gender: Male
Deane Hutton,"After Dinner Speakers; Authors; Business; Celebrity; Creativity & Innovation; Environment & Climate Change; Master of Ceremonies (MCs) & Hosts; Technology, Future & Innovation",SA (Adelaide),Gender: Male
Deb Farnworth Wood,Business; Intergenerational Influencers; Leadership,QLD (Gold Coast),Gender: Female
Debbie Mayo-Smith,"Advertising & Marketing; Business; Creativity & Innovation; Leadership; People & Culture; Social Media & Networking; Technology, Future & Innovation",New Zealand (Auckland),Gender: Female
Debora Krizak,,NSW,Gender: Female
Deborah Hutton,"Business; Celebrity; Health, Lifestyle & Wellbeing; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture",NSW (Sydney),Gender: Female
Deborah Knight,Celebrity; Economy & Finance; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Deborah Thomas,"Advertising & Marketing; Business; Celebrity; Health, Lifestyle & Wellbeing; Leadership; Media",NSW,Gender: Female
Dee Madigan,Business; Celebrity; Creativity & Innovation; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Del Irani,World Affairs,VIC (Melbourne),Gender: Female
Deng Adut,Diversity & Inclusion; Inspirational; Military; Motivational; People & Culture; Politics & Law,NSW (Sydney),Gender: Male
Denise Drysdale,Celebrity; Master of Ceremonies (MCs) & Hosts,QLD (Gold Coast),Gender: Female
Denise Lee Yohn,Business; Leadership; People & Culture,International (USA),Gender: Female
Denise Scott,Virtual,VIC (Melbourne),Gender: Female
Derek Percival,"Business; Health, Lifestyle & Wellbeing; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture; Team Building",QLD (Sunshine Coast),Gender: Male
Dermott Brereton,Celebrity; Leadership; Sport,VIC (Melbourne),Gender: Male
Derrick McManus,Business; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; Team Building,SA,Gender: Male
Di Darmody,Celebrity; Master of Ceremonies (MCs) & Hosts,WA (Perth),Gender: Female
Di McDonald,"Business; Health, Lifestyle & Wellbeing; Intergenerational Influencers; People & Culture",VIC (Melbourne),Gender: Female
Diana Taylor AM,Business; Leadership; Motivational; Sport; Team Building,VIC (Melbourne),Gender: Female
Diane Smith-Gander AO,Business; Leadership,WA (Perth),Gender: Female
Dick Johnson,Celebrity; Motivational; Sport,QLD (Brisbane),Gender: Male
Dietmar Dahmen,"AI; Business; Creativity & Innovation; Leadership; Social Media & Networking; Sustainability; Technology, Future & Innovation",International (Vienna),Gender: Male
Dilruk Jayasinha,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Dinaaz Lentin,"Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Team Building",NSW (Sydney),Gender: Female
Dion Devow,"Business; Creativity & Innovation; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Indigenous Speakers; Inspirational",ACT (Canberra),Gender: Male
Dionne Lew,Advertising & Marketing; Business; Creativity & Innovation; Leadership; Social Media & Networking,VIC,Gender: Female
Dirk Ahlborn,"Business; Creativity & Innovation; Technology, Future & Innovation",International (USA),Gender: Male
Div Pillay,Business; Diversity & Inclusion; Inspirational; Leadership; People & Culture,VIC (Melbourne),Gender: Female
DivasInc,,VIC,Gender: Female
Divya Dhingra,"Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Motivational; People & Culture; Social Media & Networking",NSW (Sydney),Gender: Female
Dom Chambers,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Dominic Thurbon,"Business; Creativity & Innovation; Intergenerational Influencers; Leadership; Social Trends & Current Affairs; Team Building; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Domonique Bertolucci,"Business; Health, Lifestyle & Wellbeing; Leadership; Mental Health & Wellness; Motivational; Resilience",NSW (Sydney),Gender: Female
Don Elgin,Authors; Diversity & Inclusion; Inspirational; Motivational; Resilience; Sport,VIC (Melbourne),Gender: Male
Don Meij,Business; Food & Wine; Leadership,QLD,Gender: Male
Don Watson,Master of Ceremonies (MCs) & Hosts; Media; Politics & Law; World Affairs,VIC (Melbourne),Gender: Male
Donna McGeorge,"After Dinner Speakers; Business; Health, Lifestyle & Wellbeing; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture; Team Building; Virtual",QLD (Brisbane),Gender: Female
Donny Galella,"Health, Lifestyle & Wellbeing; Inspirational",NSW,Gender: Male
Dorinda Hafner,Business; Celebrity; Food & Wine; Social Trends & Current Affairs,SA,Gender: Female
Doug Chappel,"Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts",VIC (Melbourne),Gender: Male
Doug Flockhart,"Business; Leadership; Technology, Future & Innovation",QLD (Brisbane),Gender: Male
Douglas Coupland,"After Dinner Speakers; Creativity & Innovation; Inspirational; Intergenerational Influencers; Social Trends & Current Affairs; Technology, Future & Innovation",International (Canada),Gender: Male
Dr Adam Beard,"Business; Health, Lifestyle & Wellbeing; Leadership; Motivational; Sport",WA (Perth),Gender: Male
Dr Adam Fraser,"Business; Health, Lifestyle & Wellbeing; Motivational",NSW (Sydney),Gender: Male
Dr Alan D. Thompson,"AI; Business; Creativity & Innovation; Inspirational; Master of Ceremonies (MCs) & Hosts; Technology, Future & Innovation",SA (Adelaide),Gender: Male
Dr Ali Walker,"Business; Health, Lifestyle & Wellbeing; Leadership; Team Building; Virtual",NSW (Sydney),Gender: Female
Dr Alice MacKinnon (PhD),"Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Mental Health & Wellness; Resilience",QLD (Brisbane),Gender: Female
Dr Amantha Imber,Business; Creativity & Innovation; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Dr Amy Chahal,"Business; Health, Lifestyle & Wellbeing",NSW (Sydney),Gender: Female
Dr Andrew Rochford,"Education; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness; Virtual",NSW,Gender: Male
Dr Anika Molesworth,Business; Environment & Climate Change; Inspirational; Intergenerational Influencers; Leadership; Motivational; Sustainability; Virtual,NSW (Broken Hill),Gender: Female
Dr Ann O'Neill AO,Inspirational; Mental Health & Wellness; Motivational,WA (Perth),Gender: Female
Dr Anne Summers AO,Business; Master of Ceremonies (MCs) & Hosts; World Affairs,NSW (Sydney),Gender: Female
Dr Anyier Yuol,Diversity & Inclusion; Leadership; Motivational,NSW (Sydney),Gender: Female
Dr Ayesha Khanna,"AI; Business; Leadership; Technology, Future & Innovation",International (Asia; Singapore),Gender: Female
Dr Ben Bravery,"Education; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; Resilience",NSW (Sydney),Gender: Male
Dr Bernadette Boss CSC,Diversity & Inclusion; Leadership; Military; World Affairs,ACT (Canberra),Gender: Female
Dr Brian Goldman,"Health, Lifestyle & Wellbeing; Intergenerational Influencers; Mental Health & Wellness",International (Canada),Gender: Male
Dr Bronwyn King AO,"Business; Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Social Trends & Current Affairs",VIC (Melbourne),Gender: Female
Dr Catherine Ball,"AI; Business; Creativity & Innovation; Environment & Climate Change; Technology, Future & Innovation",International (Singapore),Gender: Female
Dr Catriona Wallace,"AI; Business; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Dr Chadden Hunter,Adventurers; After Dinner Speakers; Environment & Climate Change; Inspirational; Motivational; Sustainability; Virtual,QLD (Brisbane),Gender: Male
Dr Claire Madden,Business; Creativity & Innovation; Intergenerational Influencers; Social Trends & Current Affairs,NSW (Sydney),Gender: Female
Dr Colm Flanagan,"After Dinner Speakers; AI; Business; Creativity & Innovation; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Dr Craig Challen SC OAM,Inspirational; Leadership; Motivational; Resilience; Team Building,WA (Perth),Gender: Male
Dr David Cropley,"Business; Creativity & Innovation; Education; Technology, Future & Innovation",SA (Adelaide),Gender: Male
Dr David Suzuki CC OBC,"Environment & Climate Change; Technology, Future & Innovation",International (Canada),Gender: Male
Dr Dianne McGrath,Adventurers; Business; Leadership; Motivational; Sport; Sustainability,ACT (Canberra),Gender: Female
Dr Dinesh Palipana OAM,"Diversity & Inclusion; Education; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; People & Culture; Politics & Law; Resilience; Technology, Future & Innovation",QLD (Gold Coast),Gender: Male
Dr Don Stammer,"Business; Economy & Finance; Technology, Future & Innovation",NSW,Gender: Male
Dr Edward Hoffman Ph.D,Business; Leadership,International (USA),Gender: Male
Dr Elise Bialylew,"Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness; Resilience",VIC (Melbourne),Gender: Female
Dr Erin Watson,Business; Economy & Finance; Master of Ceremonies (MCs) & Hosts; World Affairs,VIC (Melbourne),Gender: Female
Dr Fiona Kerr,"AI; Business; Creativity & Innovation; Leadership; Technology, Future & Innovation",SA (Adelaide),Gender: Female
Dr Frank Hagenow,Business; Leadership; People & Culture,International (Germany),Gender: Male
Dr Gaia Grant (PhD),"Business; Creativity & Innovation; Leadership; People & Culture; Team Building; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Dr Gav Schneider,"Business; Education; Health, Lifestyle & Wellbeing; Leadership",QLD (Brisbane),Gender: Male
Dr Gemma Munro,Business; Creativity & Innovation; Diversity & Inclusion; Leadership; Motivational,SA (Adelaide),Gender: Female
Dr Gill Hicks AM MBE,Business; Inspirational; Motivational; Resilience,International; SA (Adelaide; UK),Gender: Female
Dr Glen Richards,Business; Leadership; Motivational; Virtual,QLD (Brisbane),Gender: Male
Dr Harry Cooper OAM,Celebrity,NSW,Gender: Male
Dr Hayley North,Business; Education; Master of Ceremonies (MCs) & Hosts; Mental Health & Wellness; Resilience; Sport,NSW (Sydney),Gender: Female
Dr Helena Popovic,"Health, Lifestyle & Wellbeing; Motivational",QLD,Gender: Female
Dr Jacinta Di Prinzio and Dr Andrina Chien,"Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational",WA (Perth),Gender: Female
Dr James Muecke AM,Business,SA,Gender: Male
Dr Jason Fox,"Business; Creativity & Innovation; Leadership; Motivational; Technology, Future & Innovation",VIC,Gender: Male
Dr Jeanette Epps,"Leadership; Resilience; Team Building; Technology, Future & Innovation",International (USA),Gender: Female
Dr Jenny Brockis,"Authors; Business; Health, Lifestyle & Wellbeing; People & Culture; Social Trends & Current Affairs",WA (Perth),Gender: Female
Dr Jessica Gallagher,"Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Sport",VIC (Melbourne),Gender: Female
Dr Joanna McMillan,"Authors; Celebrity; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts",NSW (Sydney),Gender: Female
Dr Jodi Richardson,"Business; Education; Health, Lifestyle & Wellbeing; Mental Health & Wellness; Motivational; People & Culture; Virtual",VIC (Melbourne),Gender: Female
Dr Jodie Lowinger,"Business; Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness; Motivational; People & Culture; Resilience; Team Building",NSW (Sydney),Gender: Female
Dr John Hewson,Business; Economy & Finance; Leadership; Politics & Law,NSW,Gender: Male
Dr John Ryan McLane,Adventurers; Environment & Climate Change; Leadership; Master of Ceremonies (MCs) & Hosts; Politics & Law; World Affairs,New Zealand (Wellington),Gender: Male
Dr Joseph Michelli,Business; Creativity & Innovation; Leadership,International (USA),Gender: Male
Dr Josie McLean,Business; Creativity & Innovation; Environment & Climate Change; Leadership; People & Culture; Sustainability,SA (Adelaide),Gender: Female
Dr Juliette Tobias-Webb,"Business; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Dr Justin Coulson,"Health, Lifestyle & Wellbeing; Leadership; People & Culture; Team Building; Virtual",QLD (Sunshine Coast),Gender: Male
Dr Kate Raynes-Goldie,AI; Business; Creativity & Innovation; Leadership; Mental Health & Wellness; Motivational; People & Culture; Resilience; Team Building,WA (Perth),Gender: Female
Dr Katherine Iscoe,"Business; Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; People & Culture",International (Dubai),Gender: Female
Dr Kevin Fong,"Business; Creativity & Innovation; Leadership; Resilience; Team Building; Technology, Future & Innovation",International (UK),Gender: Male
Dr Kirstin Ferguson AM,Business; Diversity & Inclusion; Leadership; Motivational,QLD (Brisbane),Gender: Female
Dr Kristin Alford,"Business; Creativity & Innovation; Environment & Climate Change; Leadership; Social Trends & Current Affairs; Technology, Future & Innovation",SA (Adelaide),Gender: Female
Dr Kylie Moore-Gilbert,Inspirational; Motivational; Resilience; World Affairs,VIC (Melbourne),Gender: Female
Dr Larissa Bartlett,"After Dinner Speakers; Business; Health, Lifestyle & Wellbeing; Leadership",TAS (Hobart),Gender: Female
Dr Leanne Elich,Business; Leadership,NSW (Sydney),Gender: Female
Dr Leslie Cannold,"Authors; Creativity & Innovation; Master of Ceremonies (MCs) & Hosts; Media; People & Culture; Social Media & Networking; Social Trends & Current Affairs; Technology, Future & Innovation",VIC (Melbourne),Gender: Female
Dr Libby Weaver,"Business; Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational",QLD (Brisbane),Gender: Female
Dr Lila Landowski,"Business; Education; Health, Lifestyle & Wellbeing; Leadership; Mental Health & Wellness",TAS (Hobart),Gender: Female
Dr Linda Friedland,"After Dinner Speakers; Health, Lifestyle & Wellbeing; Leadership; Media",WA,Gender: Female
Dr Linda Yueh,"Business; Economy & Finance; Media; Technology, Future & Innovation; World Affairs",International (UK),Gender: Female
Dr Liz,Business; Diversity & Inclusion; Inspirational; People & Culture,International (USA),Gender: Female
Dr Lloyd Vogelman,Business; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; People & Culture,NSW (Sydney),Gender: Male
Dr Louise Mahler,"Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Virtual",VIC (Melbourne),Gender: Female
Dr Marc Faber,"Economy & Finance; Technology, Future & Innovation; World Affairs",International (Asia; Thailand),Gender: Male
Dr Marcus Collins,Advertising & Marketing; Business; Diversity & Inclusion; Storytelling,International (USA),Gender: Male
Dr Margie Warrell,Business; Inspirational; Leadership; Motivational; Resilience,International (USA),Gender: Female
Dr Mark van Rijmenam,"AI; Business; Creativity & Innovation; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Dr Matt Agnew,"AI; Education; Technology, Future & Innovation",VIC (Melbourne),Gender: Male
Dr Melissa O'Shea,"Health, Lifestyle & Wellbeing; Mental Health & Wellness",WA (Perth),Gender: Female
Dr Michael Time,"Business; Health, Lifestyle & Wellbeing; Leadership; Resilience; Sport",International (Washington DC),
Dr Neryl East,Business; Leadership; Master of Ceremonies (MCs) & Hosts; Media,NSW (Sydney),Gender: Female
Dr Nicholas Gruen,Business; Creativity & Innovation; Economy & Finance; Media; Politics & Law; Social Media & Networking; World Affairs,VIC (Melbourne),Gender: Male
Dr Nici Sweaney,"AI; Business; Education; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Dr Nick Bontis,Business; Leadership; Motivational; People & Culture; Team Building,International (Canada),Gender: Male
Dr Norman Swan,"After Dinner Speakers; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness; Technology, Future & Innovation",NSW,Gender: Male
Dr Olivia Ong,"Business; Health, Lifestyle & Wellbeing; Inspirational; Motivational; Resilience",VIC (Melbourne),Gender: Female
Dr Parag  Khanna,"Business; Economy & Finance; Social Trends & Current Affairs; Technology, Future & Innovation",International (Asia; Singapore),Gender: Male
Dr Peter Larkins,"Health, Lifestyle & Wellbeing; Sport",VIC,Gender: Male
Dr Phil Jauncey,Business; Leadership; Motivational; People & Culture; Sport; Team Building,QLD (Brisbane),Gender: Male
Dr Philip Merry,Business; Diversity & Inclusion; Leadership; People & Culture; Resilience; Team Building,International (Asia; Singapore),Gender: Male
"Dr Rebecca Chabot, PhD","Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness; Motivational; Resilience",TAS (Hobart),Gender: Female
Dr Rebecca Huntley,Business; Environment & Climate Change; Intergenerational Influencers; Social Trends & Current Affairs,NSW (Sydney),Gender: Female
Dr Rebecca Ray,Business; Inspirational; Leadership; Mental Health & Wellness; Motivational; Sport,QLD (Sunshine Coast),Gender: Female
Dr Ric Charlesworth AO,Business; Celebrity; Inspirational; Motivational; Sport; Team Building,WA (Perth),Gender: Male
Dr Richard Chambers,"Business; Health, Lifestyle & Wellbeing; Leadership; Mental Health & Wellness; Resilience",VIC (Melbourne),Gender: Male
Dr Richard Hames,"Business; Creativity & Innovation; Leadership; Technology, Future & Innovation; Virtual",International (Bangkok),Gender: Male
Dr Richard Harris SC OAM,Inspirational; Leadership; Motivational; Resilience; Sport; Team Building,SA (Adelaide),Gender: Male
Dr Robert Cialdini,Advertising & Marketing; Business; Leadership,International (USA),Gender: Male
Dr Ross Honeywill,"Business; Intergenerational Influencers; Social Trends & Current Affairs; Technology, Future & Innovation",VIC (Melbourne),Gender: Male
Dr Ross Walker,"Business; Health, Lifestyle & Wellbeing; Leadership; Virtual",NSW (Sydney),Gender: Male
Dr Sally Cockburn,"Celebrity; Education; Health, Lifestyle & Wellbeing; Virtual",VIC (Melbourne),Gender: Female
Dr Scott Parazynski MD,"Adventurers; After Dinner Speakers; Inspirational; Leadership; Motivational; Technology, Future & Innovation",International (USA),Gender: Male
Dr Stacey Ashley CSP,Business; Leadership; Resilience,NSW (Sydney),Gender: Female
Dr Stephen Brown,Business; Education; Leadership,QLD (Brisbane),Gender: Male
Dr Susan Carland,Diversity & Inclusion; Inspirational; Leadership; Social Trends & Current Affairs,VIC (Melbourne),Gender: Female
Dr Susan David,Business; People & Culture; Resilience; Team Building,International (Cambridge; Massachusetts; USA),Gender: Female
Dr Tammie Matson,Adventurers; Environment & Climate Change; Inspirational; Leadership; Motivational,QLD (Cairns),Gender: Female
Dr Tanvi Gautam,Business; Leadership; Storytelling,International (Singapore),Gender: Female
Dr Tim Baker,"Adventurers; Health, Lifestyle & Wellbeing; Inspirational; Media; Sport; Storytelling",VIC (Melbourne),Gender: Male
Dr Tim Sharp,"Business; Health, Lifestyle & Wellbeing; Intergenerational Influencers; Mental Health & Wellness; Motivational",NSW (Sydney),Gender: Male
Dr Troye Wallett,"Business; Health, Lifestyle & Wellbeing; Intergenerational Influencers; Leadership; Motivational; People & Culture",SA (Adelaide),Gender: Male
Dr Vin Gupta MD MPA,"Business; Health, Lifestyle & Wellbeing; Military; Technology, Future & Innovation",International (USA),Gender: Male
Dr Vyom Sharma,"Creativity & Innovation; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness",VIC (Melbourne),Gender: Male
Dr Wendy Sarkissian,"Business; Social Trends & Current Affairs; Technology, Future & Innovation",International (Canada),Gender: Female
Dr Wesley Payne McClendon,"Business; Creativity & Innovation; Diversity & Inclusion; Education; Leadership; Technology, Future & Innovation; Virtual",VIC (Torquay),Gender: Male
Dr William Tan,Diversity & Inclusion; Inspirational; Mental Health & Wellness; Motivational; Resilience; Sport,International (Asia; Singapore),Gender: Male
Dr Yemi Penn,Diversity & Inclusion; Inspirational; Leadership; Mental Health & Wellness; People & Culture; Resilience,NSW (Sydney),Gender: Female
Dr. JP Pawliw-Fry,Business; Leadership; Motivational; Resilience,International (USA),Gender: Male
Dr. Taryn Marie Stejskal,"Business; Health, Lifestyle & Wellbeing; Leadership; Mental Health & Wellness; Resilience",International (USA),Gender: Female
Drew Ambrose,Diversity & Inclusion; Leadership; Media; Politics & Law; Social Trends & Current Affairs; Storytelling,NSW (Sydney),Gender: Male
Duncan Chessell,Adventurers; Environment & Climate Change; Inspirational; Motivational; Team Building,SA (Adelaide),Gender: Male
Duncan Wardle,Advertising & Marketing; Business; Creativity & Innovation; Leadership,International (USA),Gender: Male
Dusty Feet Mob,Indigenous Speakers; People & Culture,SA (Adelaide; Port Douglas),
Dylan Alcott AO,Authors; Celebrity; Diversity & Inclusion; Inspirational; Motivational; Resilience; Sport; Team Building; Virtual,VIC (Melbourne),Gender: Male
Ed Kavalee,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Ed St John,Advertising & Marketing; Business; Leadership,NSW,Gender: Male
Ed Stafford,Inspirational; Leadership; Motivational,International (UK),Gender: Male
Eddie McGuire AM,Celebrity; Economy & Finance; Master of Ceremonies (MCs) & Hosts; Media; Sport,VIC (Melbourne),Gender: Male
Edgar Perez,"AI; Business; Creativity & Innovation; Economy & Finance; Technology, Future & Innovation; World Affairs",International (USA),Gender: Male
Effie Zahos,Business; Celebrity; Economy & Finance; Media,NSW (Sydney),Gender: Female
Eliane Miles,AI; Business; Leadership,,Gender: Female
Elka Whalan (nee Graham),Motivational; Sport,NSW (Sydney),Gender: Female
Elle Halliwell,"Celebrity; Education; Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; Resilience",NSW (Sydney),Gender: Female
Elle Macpherson,"Business; Celebrity; Health, Lifestyle & Wellbeing; Leadership; Master of Ceremonies (MCs) & Hosts; Media; Motivational",International (UK),Gender: Female
Ellen Fanning,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,QLD (Brisbane),Gender: Female
Ellia Green OAM,Diversity & Inclusion,NSW (Little Bay),Gender: Male
Ellie Cole AM,Diversity & Inclusion; Master of Ceremonies (MCs) & Hosts; Sport,NSW (Sydney),Gender: Female
Elly Desmarchelier,Diversity & Inclusion; Leadership; Media; Motivational; Politics & Law; Resilience,QLD (Brisbane),Gender: Female
Elspeth Hussey,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,SA (Adelaide),Gender: Female
Elvis Martin,After Dinner Speakers; Diversity & Inclusion; Inspirational; Leadership; Mental Health & Wellness; Storytelling,VIC (Melbourne),Gender: Male
Emanuel Perdis,Business; Inspirational,NSW,Gender: Male
Emeritus Professor Gary Martin,Business; Diversity & Inclusion; Inspirational; Leadership; People & Culture; Social Trends & Current Affairs,WA (Perth),Gender: Male
Emilio De Stefano,Business; Creativity & Innovation; Inspirational; Intergenerational Influencers; Leadership; Motivational,SA,Gender: Male
Emily Joy,Virtual,WA (Perth),Gender: Female
Emily Sanzaro,Creativity & Innovation; Inspirational; Storytelling,TAS (Launceston),Gender: Female
Emily Somers,Business; Inspirational; Mental Health & Wellness; Motivational; Resilience,VIC (Melbourne),Gender: Female
Emma Carney,Inspirational; Leadership; Motivational; Sport; Virtual,VIC,Gender: Female
Emma Donaldson,Leadership; Military; Resilience,NSW (Sydney),Gender: Female
Emma Edwards,Business; Economy & Finance; Mental Health & Wellness; Motivational; Social Media & Networking,VIC (Melbourne),Gender: Female
